id,tokens,tags
401,Trupp entfernt es mit dem Klappmesser,O B I O O O
1177,wenn du jetzt startest den Hochofen der von euch weiter weg ist   von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,O O O O O O O O O O O O O O B I I I I I I I I I I I I
827,wenn betriebsbereit Auftrag durchführen,B I I I
2261,Und mach sozusagen mal ein Rundumfoto das heißt aus den anderen beiden Himmelsrichtungen auch noch,O B I I I I O O O O O O O O O
1104,mach mal Fotos auch wenn du was findest dass man den Weg nachvollziehen kann,B I I I I I I I I I I I I I
1383,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,O O O O O O O O O O B I I I I I
2207,Ich orientiere mich nur an der Karte das heißt nach rechts wäre Osten du folgst einfach der langen Straße praktisch,O O O O O O O O O O O O O O B I I I I O
397,Der Trupp leuchtet den Gefahrenbereich mit dem Handscheinwerfer,O O B I I O O O
2063,Bitte mach mir mal ein Foto von deinem Standort kommen,O B I I I I I I I O
1820,Angriffstrupp und Wassertrupp rüsten sich mit Form 1 und Atemschutz aus und gehen in den Bereitstellungsraum,O O O B I I I I I I I O B O O O
1481,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,B I I I I O B I I I I I I I
2612,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,O O O B I I I I I I I O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O B I O O O O O O O O O
390,Schlauchtrupp zur Löschwasserentnahme durch Unterflurhydrant vor,O B I O O O
260,dann schick mir mal n Foto davon,O B I I I I I
2395,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,O O O O O B I I I I O B I I O
159,kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe dass man einen Orientierungspunkt hat,O O O O B I I I I I I I I O O O O O
2487,Für sie zur Information es handelt sich um folgenden stoff Schwefelsäure für sie als Auftrag mit dem D2 einen umgefallenen Kanister der sich geöffnet hat der die Flüssigkeit enthält aufnehmen und in ein Überfass befördern kommen,O O O O O O O O O O O O O O O O O O B I I I I I I I I I I I I I I I I O
400,Sie öffnen die Türen mit dem Spreizer,O B I I O O O
361,Angrifftrupp und Wassertrupp zur Brandbekämpfung jeweils mit einem C Rohr in das zweite Obergeschoss über den Treppenraum vor,O O O B I O O O O O O O O O O O O O
1731,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV zw  eins sich momentan befindet das andere Fass zu sehen war,O O O O O O B I I I I I I I I I I I I I I I I I I
2438,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,O O B I I I I I I I
1428,Das ist verstanden dann folgen Sie den UGV 2,O O O O B I I I I
2515,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,O O B I I I O O O O O B I I I O
1459,ihr nehmt aber die westliche Richtung,O B I I I I
358,Mit dem Schlauchhaspel den Verbindungsschlauch von der Pumpe zur Beregnungsmaschine verlegen,O O O B I I I I I I I
2236,Nähere dich mal UGV 2 da sind zwei Proben die er eventuell aufnehmen muss,B I I I I O O O O O O O O O
411,Der Angriffstrupp trennt die Stahlteilen mit dem Brennschneidgerät,O O B I I O O O
450,Sie bewegen sich zum Fenster auf der rechten Seite,O B I O O O O O O
413,Der Trupp transportert die Verletzten mit hilfe von Krankentrage,O O B I I O O O O
54,zu allen Roboter mal kurz Stop,O O O B I I
1755,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können,O O O O O O O O O O B I I I I I I I I I
2335,Okay konntest du denn eine Probenahme beenden,O O O O B I I
415,Sie transportieren die Person in der Krankentrage,O B I I O O O
474,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,O B I I I I I I I I I I I I
2496,Für sie Paralleleinsatz der D2 geht zur Manipulation in die Lagerhalle vor für sie Bereitstellung eines Luftbildes aus der Halle kommen,O O O O O O O O O O O O O O B I I I I I O
2680,Ja das ist verstanen auch für sie zur Information der D2 hat seinen Auftrag erledigt für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,O O O O O O O O O O O O O O O O O O O B I I I I I I I I I I O
1821,Schlauchtrupp baut Not Dekon neben Bereitstellungsraum auf,O B I I I I I
369,Maschinist stellt die Geräte bereit,O B I I I
2180,Wenn du da nichts entdeckst weiter Richtung Osten,B I I I I I I I
1863,auf Menschen und sonstige Ereignisse scannen,B I I I I I
1042,Auftrag ist Erkundung nach weiteren Zugangsmöglichkeiten nach Verletzten,O O B I I I I I
1126,dass du dieses Bild nochmal machst aber reinzoomst,O O B I I I I I
426,D2 unterstützt Schlauchtrupp beim Menschenrettung,O B I I I
101,mach mal ein Foto zur Orientierung für mich,B I I I I I O O
425,D1 macht erkundet weiter und sendet die Fotos der Halle,O O B I O B I I I I
383,Wassertrupp erzeugt mit dem Zumischer den Löschschaum,O B I I I I I
1390,Sie suchen die nördliche Gebäudewand in westlicher Richtung ab,O B I I I I I I I
407,Trupp fällt die Bäume mit der Motorkettensäge,O B I I O O O
427,D3 fährt in die Halle rein,O B I I I I
