id,tokens,tags
482,wenn Sie einsatzbereit sind lautet der Einsatzauftrag bitte geben Sie mir einen Gesamtüberblick aus der Luft suchen Sie nach möglichen Rauchentwicklungen konzentrieren Sie sich besonders auf den Bereich zwischen den beiden Hochöfen beziehungsweise am linken Hochofen,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
459,D5 macht den Überblick und die Fotos im inneren Bereich,O O O O O O O B I I
453,Gruppenführer Erkundung mit dem D fünf im Inneren der Halle,O O O O O O B I I I
1384,Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung,O O O O B I I O O O O O O O
381,Angriffstrupp zur Brandbekämpfung mit dem Strahlrohr vor,O O O O O O O
449,Sie gehen ins Gebäude durch den Vordereingang,O O B I O O O
435,Sie ziehen es raus mit dem Rettungszylinder,O O O O O O O
442,D4 macht die Bilder in der Lagerhalle innen und außen,O O O O B I I I I I
457,D2 schließt den Container mit dem Arm,O O O O O O O
375,Wassertrupp stellt die Wasserversorgung bereit,O O O O O
458,D 3 zum Transport in die Halle vor,O O O O B I I O
1030,Lena jetzt sag mir mal genau den Standort dieser Person,O O O O O O O O O O
396,Angriffstrupp zum Herunterreißen von Decken mit dem Einreißhaken,O O O O O O O O
1511,ja fahr mal rein,O O O B
391,Schlauchtrupp zur Löschwasserentnahme durch Überflurhydrant vor,O O O O O O
445,D3 geht Richtung Osten,O O B I
2438,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,O O B I I I I I I O
1825,Angriffstrupp zur Personenbefreiung mit dem Rettungsspreizer zum verunfalltem Auto über die Wiese vor,O O O O O O B I I O O O O
1262,da ich eine leichte Rauchentwicklung auf der linken Seite sehe bitte den Weg zur linken Seite fortsetzen,O O O O O O O O O O O O O B I I O
1229,Drohnenoperator starten Sie und über  machen Sie sich einen Überblick über die Lage,O O O O O O O O O O O O O O
801,Roboter 1 können Sie den Standort nochmal anfahren,O O O O B I O O
418,Gruppenführer Erkundung mit dem D3 im Inneren der Lagerhalle,O O O O O B I I I
440,D1 fliegt zum roten PKW,O O B I I
2660,Alles klar für sie Rückkehr an den Gefahrenbereich vor die Halle kommen,O O O O O O O O B I I O
444,D2 bewegt sich Richtung Norden,O O O B I
1422,Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel,O O O O O O O O O O O O O O O B I O O
1332,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,O O O O O O O B I I O O O O O
232,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,O O O O O O O O O B I I O
371,Maschinist zur Atemschutzüberwachung vor,O O O O
257,könnt ihr was erkunden was da in lauter Rauch steht,O O O O O O O O O O
430,UGV Operator erkundet den Gefahrenbereich im zweiten Stock,O O O O O B I I
964,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,B O O O O O O O O O
338,schicken Sie mir das Foto,O O O O O
373,Angriffstrupp zum Abdichten des Gefahrenbereiches vor,O O O O O O
478,Boden 1 nach rechts,O O O O
126,dann Erkundung zweiter Obergeschoss,O O B I
1190,ich hab im Moment keinen Roboter einsatzbereit kannst du gucken ob du dieses Fass findest und entsprechende Bilder machst,O O O O O O O O O O O O O O O O O O O
367,Gerätebereitstellung an der Absperrgrenze,O B I I
2680,Ja das ist verstanen auch für sie zur Information der D2 hat seinen Auftrag erledigt für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,O O O O O O O O O O O O O O O O O O O O O B I I I I I I I O O
990,Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast,O O O O O O O O O O O O O O
2573,Für sie auch Erkundungsauftrag mit dem D5 an der linken Flanke außerhalb der Lagerhalle Erkundung kommen,O O O O O O O B I I I I I I O O
1201,fahr zu dem grünen Fass und erkunde um dieses grüne Fass herum warum es da raucht,O B I I I O O O O O O O O O O O
2442,Die Einsatzstelle wurde begangen Wir haben einen Gefahrstoffunfall in einem Lager Für sie erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,O O O O O O O O O O O O O O B I I O O O O O
374,Maschinist zur Bedienung von Stromerzeuger und Ausleuchten der Einsatzstelle bei Nacht vor,O O O O O O O O O O O O
1819,Bereitstellungsraum für die vorgehenden Trupps fünf Meter vor dem Löschfahrzeug,O O O O O B I I I I
431,Trupp zum Brandlöschen mit dem B Rohr vor,O O O O O O O O
389,Wassertrupp zur Löschwasserentnahme durch Wandhydranten vor,O O O O O O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O O O O O B I I O O O O
1116,ich möchte mal dass du mit der   mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,O O O O O O O O O O O O O O O B I I O O O O O O O O O O
2686,Dann Auftag für den D3 das Fass an die Gefahrengrenze bringen,O O O O O O O B I I O
363,Angriffstrupp mit der Schlauchbrücke zur Gefahrenquelle vor,O O O O B I O
357,Wassertrupp zur Schlauchhaspel,O O O
443,Wassertrupp mit dem Rohr zur Unterstützung des Angrifftrupps ins Keller,O O O O O O O O B I
368,Maschinist stellt die Pumpe bereit,O O O O O
355,alle bitte hier zum Treffpunkt ans Zelt kommen,O O O B I I I O
327,ja fahren Sie wieder zurück ins Untergeschoss,O O O O O B I
386,Schlauchtrupp zur Löschwasserentnahme über ein Saugschacht und ein Saugrohr vor,O O O O O O O O O O
419,D3 zur Erkundung mit Thermalkamera in die Lagerhalle durch das Tor vor,O O O O O B I I O O O O
452,Angrifftrupp tritt über das Haupttor ein,O O O O O O
427,D3 fährt in die Halle rein,O O B I I O
447,Schlauchtrupp öffnet die Tür hinter dem grünen Fass,O O O O B I I I
403,Sie zerbrechen die Deckel mit der Holzaxt,O O O O O O O
1822,Angriffstrupp zur Personenrettung unter PA mit erster Rohr in die dritte Etage über das Treppenhaus vor,O O O O O O O O B I I I O O O O
361,Angrifftrupp und Wassertrupp zur Brandbekämpfung jeweils mit einem C Rohr in das zweite Obergeschoss über den Treppenraum vor,O O O O O O O O O O B I I I O O O O
1523,ja dann fahrt mal hoch und erkundet da weiter,O O O O B O O O O
426,D2 unterstützt Schlauchtrupp beim Menschenrettung,O O O O O
387,Wassertrupp zur Löschwasserentnahme durch Saugbetrieb vor,O O O O O O
399,Sie heben den Deckel mit dem Hebebaum,O O O O O O O
1547,ja fahrt da mal rein,O O O O B
