id,tokens,tags
488,Operator Boden 2 ein Foto senden,O O O O O O
381,Angriffstrupp zur Brandbekämpfung mit dem Strahlrohr vor,O O O O O O O
652,baldmöglich erstes Bildmaterial senden,O O O O
2427,D2 ist einsatzbereit das ist verstanden Bitte auf Übungsbeginn warten kommen,O O O O O O O O O O O
2457,Für sie bitte die inbetriebnahme der Roboter D3 und D5 kommen,O O O O O O O O O O O
429,D5 fährt zur Unterstützung des Angriffstrupps,O O O O O O
1731,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV zw  eins sich momentan befindet das andere Fass zu sehen war,O O O O O O O O O O O O O O O O O O O O O O O O O
2180,Wenn du da nichts entdeckst weiter Richtung Osten,O O O O O O O O
2133,Dann Foto machen,O O O
406,Sie schneiden Holz mit der Motorkettensäge,O O O O O O
426,D2 unterstützt Schlauchtrupp beim Menschenrettung,O O O O O
1271,ja wenns geht näher ranfahren zum Lokalisieren wo dieser Rauch entsteht und Foto machen und mir senden,O O O O O O O O O O O O O O O O O
880,ich möchte Infrarot Bilder haben mit dem Ziel Leckagen festzustellen beziehungsweise Wärmestrahlung,O O O O O O O O O O O O
1428,Das ist verstanden dann folgen Sie den UGV 2,O O O O O O O O O
443,Wassertrupp mit dem Rohr zur Unterstützung des Angrifftrupps ins Keller,O O O O O O O O O O
357,Wassertrupp zur Schlauchhaspel,O O O
412,Sie trennen die Metallteile mit dem Plasmaschneidgerät,O O O O O O O
2156,Einsatzauftrag bitte aufsteigen Übersichtsfoto machen wenn möglich aus allen vier Himmelsrichtungen kommen,O O O O O O O O O O O O
428,D4 meldet die Gefahrstoffe,O O O O
370,Maschinist zur Unterstützung beim Aufbau der Wasserversorgung vor,O O O O O O O O
1116,ich möchte mal dass du mit der   mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
491,UAV bitte eine Gesamtübersicht von dem zentralen Gebäude,O O O O O O O O
382,Angriffstrupp zur Brandbekämpfung mit dem Schaumstrahlrohr vor,O O O O O O O
419,D3 zur Erkundung mit Thermalkamera in die Lagerhalle durch das Tor vor,O O O O O O O O B I I O
870,guck mal auch nebenbei so ein bisschen nach dem Feuer,O O O O O O O O O O
2475,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,O O O O O O O O O O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O O O O O O O O B I I O
1705,dann müsst ihr euch von da aus in östlicher Richtung bewegen,O O O O O O O B I I O
