id,speakers,previous,tokens,tags
0,TL,Start,hier der Teamleader,4
1,TL,hier der Teamleader,die Drohne ist auch einsatzbereit?,3
2,UAV,die Drohne ist auch einsatzbereit?,ja das ist korrekt,7
3,TL,ja das ist korrekt,UGV 2 von Einsatzleiter kommen,4
4,UGV-2,UGV 2 von Einsatzleiter kommen,UGV 2 hört,5
5,TL,UGV 2 hört,wie ist bei dir auch einsatzbereit?,3
6,TL,wie ist bei dir auch einsatzbereit?,Standort Frage?,3
7,UGV-2,Standort Frage?,ja wir sind auch einsatzbereit,7
8,UGV-2,ja wir sind auch einsatzbereit,versuchen noch den Standort rauszufinden,2
9,UGV-2,versuchen noch den Standort rauszufinden,ich hab gerade ein Bild hochgeladen das müsstest du sehen,2
10,TL,ich hab gerade ein Bild hochgeladen das müsstest du sehen,ja Bild ist angekommen,2
11,UAV,ja Bild ist angekommen,Einsatzleiter von UAV-Drohne,4
12,TL,Einsatzleiter von UAV-Drohne,ja ich höre,5
13,UAV,ja ich höre,sollen wir loslegen und erkunden? oder hast du noch was?,3
14,TL,sollen wir loslegen und erkunden? oder hast du noch was?,ja startet mal und fliegt ja startet erst mal,7
15,TL,ja startet mal und fliegt ja startet erst mal,UAV von Einsatzleiter kommen,4
16,UAV,UAV von Einsatzleiter kommen,hier ist die UAV,5
17,TL,hier ist die UAV,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,1
18,UAV,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,ja ist verstanden westlich über das Gelände und ein Bild schicken,7
19,TL,ja ist verstanden westlich über das Gelände und ein Bild schicken,UGV 2 von Einsatzleiter kommen,4
20,UGV-2,UGV 2 von Einsatzleiter kommen,Teamleader UGV 2 gerufen?,3
21,TL,Teamleader UGV 2 gerufen?,ja richtig,7
22,TL,ja richtig,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen,1
23,UGV-2,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen,ja verstanden erkunden in südlicher Richtung,7
24,UGV-1,ja verstanden erkunden in südlicher Richtung,Frage: der Einsatzbefehl gilt auch für UGV 1?,3
25,TL,Frage: der Einsatzbefehl gilt auch für UGV 1?,ja richtig,7
26,TL,ja richtig,ihr nehmt aber die westliche Richtung,2
27,UGV-1,ihr nehmt aber die westliche Richtung,westliche Richtung verstanden,2
28,UGV-1,westliche Richtung verstanden,Einsatzleiter von UGV 1 kommen,4
29,TL,Einsatzleiter von UGV 1 kommen,ja höre,5
30,UGV-1,ja höre,die westliche Richtungserkundung auf dieser Ebene?,3
31,TL,die westliche Richtungserkundung auf dieser Ebene?,habt ihr die Möglichkeit die Ebene zu wechseln?,3
32,UGV-1,habt ihr die Möglichkeit die Ebene zu wechseln?,ja es gibt Treppen,7
33,UGV-1,ja es gibt Treppen,ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe,2
34,TL,ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe,ja richtig,7
35,UAV,ja richtig,Einsatzleiter von UAV,4
36,TL,Einsatzleiter von UAV,ich höre,5
37,UAV,ich höre,ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen,2
38,TL,ich hab dir ein Bild geschickt von der Drohne aus der Luft mit Blickrichtung Westen,das ist verstanden,2
39,TL,das ist verstanden,UAV von Einsatzleiter kommen,4
40,UAV,UAV von Einsatzleiter kommen,UAV hört,5
41,TL,UAV hört,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,1
42,UAV,könnt ihr den Bereich mal abschwenken mit der Kamera und nach eventuellen Brandnestern suchen?,ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera,7
43,UGV-1,ja wir suchen nach Brandnestern mittels Wärmebild-Kamera oder Infrarot-Kamera,Einsatzleiter von UGV 1,4
44,TL,Einsatzleiter von UGV 1,ich höre,5
45,UGV-1,ich höre,ich hab dir ein'n Schnappschuss erstellt,2
46,UGV-1,ich hab dir ein'n Schnappschuss erstellt,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,3
47,UGV-1,kannst du mal gucken ob dir das recht ist auf dieser Ebene zu suchen?,das wäre jetzt der Blick in den westlichen Teil der Halle,2
48,TL,das wäre jetzt der Blick in den westlichen Teil der Halle,UGV 1 von Einsatzleiter kommen,4
49,UGV-1,UGV 1 von Einsatzleiter kommen,UGV 1 hört,5
50,TL,UGV 1 hört,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,1
51,UGV-1,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,weitererkunden in westlicher Richtung verstanden,7
52,TL,weitererkunden in westlicher Richtung verstanden,UGV 2 von Einsatzleiter,4
53,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
54,TL,UGV 2 hört,wo ist dein Standort im Moment?,3
55,UGV-2,wo ist dein Standort im Moment?,wir befinden uns auf einer Rampe,2
56,UGV-2,wir befinden uns auf einer Rampe,ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg,2
57,TL,ich schick dir nochmal einen Schnappschuss von ein bisschen weiter weg,ja,7
58,TL,ja,UAV von Einsatzleiter,4
59,UAV,UAV von Einsatzleiter,hier ist die UAV,5
60,UAV,hier ist die UAV,wir haben zur Zeit technische Probleme,2
61,UAV,wir haben zur Zeit technische Probleme,und können noch keine neuen Bilder senden,2
62,TL,und können noch keine neuen Bilder senden,ja verstanden,2
63,TL,ja verstanden,UGV 1 von Einsatzleiter,4
64,UGV-1,UGV 1 von Einsatzleiter,UGV 1 hört,5
65,TL,UGV 1 hört,habt ihr schon neue Erkenntnisse?,3
66,UGV-1,habt ihr schon neue Erkenntnisse?,bisher negativ,0
67,TL,bisher negativ,ihr bewegt euch weiter in westlicher Richtung?,3
68,UGV-1,ihr bewegt euch weiter in westlicher Richtung?,das ist korrekt,7
69,TL,das ist korrekt,UGV 2 von Einsatzleiter,4
70,UGV-2,UGV 2 von Einsatzleiter,ja ich UGV 2,5
71,UGV-2,ja ich UGV 2,ich komme gleich mit 'nem neuen Bild,2
72,UAV,ich komme gleich mit 'nem neuen Bild,Einsatzleiter von UAV,4
73,TL,Einsatzleiter von UAV,ich höre,5
74,UAV,ich höre,also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen,2
75,UAV,also wir haben diese Ausrichtung Westen und dieses Gebäude angeguckt und konnten bisher keine Glutnester feststellen,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,2
76,UAV,wir tauschen jetzt den Akku und fliegen dann nochmal aus einer anderen Richtung an,au- aus,6
77,TL,au- aus,ja verstanden,2
78,UGV-1,ja verstanden,ja Einsatzleiter von UGV 1 kommen,4
79,TL,ja Einsatzleiter von UGV 1 kommen,ich höre,5
80,UGV-1,ich höre,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,2
81,UGV-1,ja wir stehen hier wohl auf einer Rampe ich kann nämlich genau sagen wo die ist,wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden,2
82,TL,wir hätten die Möglichkeit von hier aus in den Komplex reinzufahren und dort innen zu erkunden,ja fahr mal rein,7
83,UGV-1,ja fahr mal rein,ja verstanden,2
84,TL,ja verstanden,UGV 2 von Einsatzleiter,4
85,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
86,TL,UGV 2 hört,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,3
87,UGV-2,fahrt ihr runter oder fahrt ihr auch über diese Rampe?,also aktuell stehe ich noch an dem flachen Bereich der Rampe,2
88,TL,also aktuell stehe ich noch an dem flachen Bereich der Rampe,kannst du mir ein Bild schicken?,1
89,UGV-2,kannst du mir ein Bild schicken?,ja kommt sofort,7
90,UGV-1,ja kommt sofort,Einsatzleiter von UGV 1 kommen,4
91,TL,Einsatzleiter von UGV 1 kommen,ich höre,5
92,UGV-1,ich höre,habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse,2
93,UGV-1,habe den westlichen Hallenteil bis zum Ende jetzt erkundet keine weiteren Erkenntnisse,ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren,2
94,TL,ich hätte jetzt die Möglichkeit auch in die erste Ebene hochzufahren,ja dann fahrt mal hoch und erkundet da weiter,7
95,UGV-1,ja dann fahrt mal hoch und erkundet da weiter,ja ist verstanden,2
96,UAV,ja ist verstanden,Einsatzleiter von UAV,4
97,UAV,Einsatzleiter von UAV,U- UAV,6
98,TL,U- UAV,ich höre,5
99,UAV,ich höre,also ich kann auch hier keine Glutnester erkennen,2
100,TL,also ich kann auch hier keine Glutnester erkennen,ja verstanden,2
101,TL,ja verstanden,ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja?,3
102,UAV,ihr seid also jetzt den eigentlichen Hochofenbereich abgeflogen komplett ja?,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,7
103,TL,ja wir gucken jetzt gerade aus nördlicher Richtung oder auf den Hochofen ja,Rauchentwicklung ist von dort aus auch nicht zu sehen?,3
104,UAV,Rauchentwicklung ist von dort aus auch nicht zu sehen?,ja,7
105,UAV,ja,ich guck mal gleich wieder,2
106,UGV-2,ich guck mal gleich wieder,UGV 2 von Einsatzleiter,4
107,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
108,TL,UGV 2 hört,du hattest mir gerade das Bild geschickt ja?,3
109,UGV-2,du hattest mir gerade das Bild geschickt ja?,ja,7
110,UGV-2,ja,ist schon etwas länger her,2
111,UGV-2,ist schon etwas länger her,wir haben massive Probleme mit der Steuerung,2
112,UGV-2,wir haben massive Probleme mit der Steuerung,ja da haben wir es gerade ein bisschen schwierig,2
113,UGV-2,ja da haben wir es gerade ein bisschen schwierig,ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe,2
114,TL,ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe,ja verstanden,2
115,UGV-2,ja verstanden,Einsatzleiter von UGV 2 kommen,4
116,TL,Einsatzleiter von UGV 2 kommen,ich höre,5
117,UGV-2,ich höre,das Bild ist geteilt,2
118,TL,das Bild ist geteilt,ja ist bei mir angekommen,2
119,UGV-2,ja ist bei mir angekommen,Frage: sollen wir da jetzt reinfahren?,3
120,TL,Frage: sollen wir da jetzt reinfahren?,warte ich muss eben erst gucken,6
121,TL,warte ich muss eben erst gucken,ja fahrt da mal rein,7
122,UGV-2,ja fahrt da mal rein,ja verstanden,2
123,UGV-2,ja verstanden,das müsste irgendwo im westlichen Bereich sein,2
124,UAV,das müsste irgendwo im westlichen Bereich sein,Einsatzleiter von UAV,4
125,TL,Einsatzleiter von UAV,ich höre,5
126,UAV,ich höre,ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt,2
127,UAV,ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt,ich kann keine Rauchentwicklung erkennen,2
128,TL,ich kann keine Rauchentwicklung erkennen,ja verstanden,2
129,UAV,ja verstanden,Einsatzleiter von UAV,4
130,TL,Einsatzleiter von UAV,ich höre,5
131,UAV,ich höre,also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes,2
132,UAV,also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes,ich schicke dir ein Bild,2
133,UGV-1,ich schicke dir ein Bild,Einsatzleiter von UAV 1,4
134,TL,Einsatzleiter von UAV 1,höre,5
135,UGV-1,höre,ich korrigiere - UGV 1,6
136,TL,ich korrigiere - UGV 1,ja kommen Sie,5
137,UGV-1,ja kommen Sie,ja ich stehe jetzt am Fuß der Rampe,2
138,UGV-1,ja ich stehe jetzt am Fuß der Rampe,hab dir ein Bild geschickt,2
139,UGV-1,hab dir ein Bild geschickt,kannst du mal was gucken ob da was Interessantes ist,2
140,TL,kannst du mal was gucken ob da was Interessantes ist,ja danke,7
141,UGV-1,ja danke,zur Info das ist der Blick in östlicher Richtung,2
142,TL,zur Info das ist der Blick in östlicher Richtung,UAV von Einsatzleiter,4
143,UAV,UAV von Einsatzleiter,ich hör' dich,5
144,TL,ich hör' dich,wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus,2
145,TL,wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,1
146,UAV,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,ja wir schalten gerade um ich komme gleich wieder mit neuen Infos,7
147,TL,ja wir schalten gerade um ich komme gleich wieder mit neuen Infos,UGV 2 von Einsatzleiter,4
148,UGV-2,UGV 2 von Einsatzleiter,UGV 2 hört,5
149,TL,UGV 2 hört,schickst du mir noch mal ein aktuelles Foto euren Standortes?,1
150,UGV-2,schickst du mir noch mal ein aktuelles Foto euren Standortes?,ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt,7
151,UAV,ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt,Einsatzleiter von UAV,4
152,TL,Einsatzleiter von UAV,ich höre,5
153,UAV,ich höre,ich hab dir ein Bild von der Wärmebild-Kamera geschickt,2
