id,speakers,isoda,tokens,tags
0,TL,Kontakt Bestätigung,hier der Teamleader,4
1,TL,Information nachfragen,die Drohne ist auch einsatzbereit?,3
2,UAV,Zusage,ja das ist korrekt,7
3,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter kommen,4
4,UGV-2,Kontakt Bestätigung,UGV 2 hört,5
5,TL,Information nachfragen,wie ist bei dir auch einsatzbereit?,3
6,TL,Information nachfragen,Standort Frage?,3
7,UGV-2,Zusage,ja wir sind auch einsatzbereit,7
8,UGV-2,Einsatzbefehl,versuchen noch den Standort rauszufinden,2
9,UGV-2,Information geben,ich hab gerade ein Bild hochgeladen das müsstest du sehen,2
10,TL,Zusage,ja Bild ist angekommen,2
11,UAV,Kontakt Anfrage,Einsatzleiter von UAV-Drohne,4
12,TL,Kontakt Bestätigung,ja ich höre,5
13,UAV,Einsatzbefehl,sollen wir loslegen und erkunden? oder hast du noch was?,3
14,TL,Information geben,ja startet mal und fliegt ja startet erst mal,7
15,TL,Kontakt Anfrage,UAV von Einsatzleiter kommen,4
16,UAV,Kontakt Bestätigung,hier ist die UAV,5
17,TL,Einsatzbefehl,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild?,1
18,UAV,Sonstiges,ja ist verstanden westlich über das Gelände und ein Bild schicken,7
19,TL,Kontakt Anfrage,UGV 2 von Einsatzleiter kommen,4
20,UGV-2,Kontakt Anfrage,Teamleader UGV 2 gerufen?,3
21,TL,Zusage,ja richtig,7
22,TL,Einsatzbefehl,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab? kommen,1
23,UGV-2,Sonstiges,ja verstanden erkunden in südlicher Richtung,7
24,UGV-1,Information nachfragen,Frage: der Einsatzbefehl gilt auch für UGV 1?,3
25,TL,Zusage,ja richtig,7
26,TL,Information geben,ihr nehmt aber die westliche Richtung,2
27,UGV-1,Sonstiges,westliche Richtung verstanden,2
28,UGV-1,Kontakt Anfrage,Einsatzleiter von UGV 1 kommen,4
29,TL,Kontakt Bestätigung,ja höre,5
30,UGV-1,Information nachfragen,die westliche Richtungserkundung auf dieser Ebene?,3
31,TL,Information nachfragen,habt ihr die Möglichkeit die Ebene zu wechseln?,3
32,UGV-1,Zusage,ja es gibt Treppen,7
33,UGV-1,Information geben,ich schick dir mal ein Bild dass du einen Eindruck kriegst wo ich gerade stehe,2
34,TL,Zusage,ja richtig,7
35,UAV,Kontakt Anfrage,Einsatzleiter von UAV,4
