id,tokens,tags
2060,Wenn ihr gleich vorgeht bitte meldet mir die üblichen Gefahren an der Einsatzstelle Feuer Opfer,O B O O O O O O O O O O O O O
2525,D3 mit Überfass ist am Standort angekommen für sie Beginn des Auftrages Bergung des Behältnisses kommen,O O O O O O O O B O O O O O O O
232,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,O O O B O O O O O O O O O
1043,schau auch mal wie weit die Rauchentwicklung da ausgedehnt ist,O O O O O O O O O O
368,Maschinist stellt die Pumpe bereit,B O O O O
397,Der Trupp leuchtet den Gefahrenbereich mit dem Handscheinwerfer,B I O O O O O O
443,Wassertrupp mit dem Rohr zur Unterstützung des Angrifftrupps ins Keller,B O O O O O O O O O
2395,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,O O B O O O O O O O O O O O O
1201,fahr zu dem grünen Fass und erkunde um dieses grüne Fass herum warum es da raucht,O O O O O O O O O O O O O O O O
376,Wassertrupp sichert die Einsatzstelle gegenüber dem Verkehr,B O O O O O O
2482,Für sie Auftrag es wird eine manipulation vorbereitet mit dem D2 kommen,O B O O O O O O O O O O
406,Sie schneiden Holz mit der Motorkettensäge,B O O O O O
1108,dein Auftrag ist an diesem Raum vorbei wo der Operator 1 drin ist und da ab da weiter zu suchen nach Menschen,O O O O O O O O O O O O O O O O O O O O O O
2108,Kannst du mal abschätzen wie weit du bis jetzt gefahren bist,O B O O O O O O O O O
1116,ich möchte mal dass du mit der   mit der Drohne jetzt weiter fliegst zum anderen Hochofen quasi von der anderen Seite der Einsatzstelle aus Fotos machst,O O O O B O O O O O O O O O O O O O O O O O O O O O O O
1373,Für sie Auftrag innerhalb des Gebäudes nach Hitze  und Rauchquellen suchen,O B O O O O O O O O O O
2475,Für sie WHS Rückzug aus der Lagerhalle erkundungsauftrag beendet kommen,O O B O O O O O O O
398,Der Trupp leuchtet den Gefahrenbereich mit dem Flutlichtstrahler,B I O O O O O O
2171,Und jetzt fahrt ihr beide hintereinander her zum Punkt ASA 325   352 danke,O O O B I O O O O O O O O O O
2672,Sofortiger Stop des Roboters Kontaminationsverschleppung bitte verweilen sie am Gefahrenbereich kommen,O O O O O O O B O O O
2179,Nimm doch mal bitte einen Rundblick,O O O O O O
2567,Für sie Erkundungsauftrag Panoramabild der gesammten Lagerhalle kommen,O B O O O O O O
1731,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV zw  eins sich momentan befindet das andere Fass zu sehen war,O O O B O O O O O O O O O O O O O O O O O O O O O
438,D drei öffnet die Tür mit dem Plasmaschneider,B I O O O O O O
369,Maschinist stellt die Geräte bereit,B O O O O
1820,Angriffstrupp und Wassertrupp rüsten sich mit Form 1 und Atemschutz aus und gehen in den Bereitstellungsraum,B I I O O O O O O O O O O O O O
1207,die Roboter sollen alle zurückfahren und dann treffen wir uns hier,O O O O O O O O B O O
436,D fünf macht Bilder mit der Thermalkamera,B I O O O O O
1177,wenn du jetzt startest den Hochofen der von euch weiter weg ist   von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,O B O O O O O O O O O O O O O O O O O O O O O O O O O
2156,Einsatzauftrag bitte aufsteigen Übersichtsfoto machen wenn möglich aus allen vier Himmelsrichtungen kommen,O O O O O O O O O O O O
811,ja korrekt da stehen bleiben,O O O O O
405,Trupp trennt die Zäunen mit dem Bolzenschneider,B O O O O O O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,B O O O O O O O O O O O
384,Wassertrupp zum Kuppeln von Saugleitung vor,B O O O O O
2472,ein stückchen näher ran,O O O O
400,Sie öffnen die Türen mit dem Spreizer,B O O O O O O
1596,schickst du mir dann auch von da mal ein Foto,O B O O O O O O O O
435,Sie ziehen es raus mit dem Rettungszylinder,B O O O O O O
1041,folgenden Auftrag den gleichen Weg nehmen wie Operator 1,O O O O O O O O O
404,Für Sie Auftrag die Metallstäben mit dem Bolzenschneider trennen,O B O O O O O O O
982,du sollst zur Rauchentwicklung fahren,B O O O O
1128,das gleiche Bild was du jetzt gemacht hast da in die Mitte reinzoomen da wo die Rauchentwicklung ist,O O O O B O O O O O O O O O O O O O
1666,ja schickst du mir nochmal ein Bild,O O B O O O O
2573,Für sie auch Erkundungsauftrag mit dem D5 an der linken Flanke außerhalb der Lagerhalle Erkundung kommen,O B O O O O O O O O O O O O O O
439,D vier macht die Abmessung mit dem Gas Sensor,B I O O O O O O O
447,Schlauchtrupp öffnet die Tür hinter dem grünen Fass,B O O O O O O O
1862,bitte auch per Infrarot bitte,O O O O O
457,D2 schließt den Container mit dem Arm,B O O O O O O
358,Mit dem Schlauchhaspel den Verbindungsschlauch von der Pumpe zur Beregnungsmaschine verlegen,O O O O O O O O O O O
429,D5 fährt zur Unterstützung des Angriffstrupps,B O O O O O
