id,tokens,tags
379,Angriffstrupp baut den Dekonplatz auf,O B I I I
2291,Konntest du schon mal was erkennen sind die Behälter dicht oder undicht,O O O O O B I I I I I I
1332,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,O O O O O B I I I I O B I I I
420,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O B I O O O O O O O O O
487,da ein Foto machen,B I I I
2237,Fahr mal bitte näher daran und mach mal Foto wie er das macht,B I I I I O B I I I I I I
2472,ein stückchen näher ran,B I I I
1455,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab kommen,B I I I I I I I I I I I I I I I O
384,Wassertrupp zum Kuppeln von Saugleitung vor,O B I I I O
404,Für Sie Auftrag die Metallstäben mit dem Bolzenschneider trennen,O O O B I I I I I
2297,Fahr trotzdem erst mal in die Richtung,B I I I I I I
477,Team auf Position gehen,O B I I
2457,Für sie bitte die inbetriebnahme der Roboter D3 und D5 kommen,O O O O B I I I I I O
609,der Einsatz Auftrag ist unverändert Erkundung nach Personen,O O O O O B I I
356,Den obersten Schlauch am Verteiler ankuppeln und mit dem Schlauchtragekorb in das Gebäude vorgehen,B I I I I I O B I I I I I I
529,dann bitte einmal ein Foto davon und wieder landen,O O B I I I O B I
2217,Bleib mal gerade an der Position wir starten dich noch gerade neu,B I I I I I O O O O O O
1229,Drohnenoperator starten Sie und über  machen Sie sich einen Überblick über die Lage,O B O O O O B I I I I I I I
1846,möglicherweise sind dann auch Personen vermisst also Personensuche voran  bringen und dann eventuell noch nach der Schadenursache gucken,O O O O O O O B I I I O O O O B I I I
812,schauen Sie mal im Umkreis ob dort Rettungskräfte sich bewegen kommen,B I I I I I I I I I O
1547,ja fahrt da mal rein,O B I I O
2260,Kreise mal bitte jetzt dann um ASA 352 herum,B I I I I I I I I
1908,mach mal ein Foto davon,B I I I I
401,Trupp entfernt es mit dem Klappmesser,O B I O O O
1177,wenn du jetzt startest den Hochofen der von euch weiter weg ist   von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,O O O O O O O O O O O O O O B I I I I I I I I I I I I
827,wenn betriebsbereit Auftrag durchführen,B I I I
2261,Und mach sozusagen mal ein Rundumfoto das heißt aus den anderen beiden Himmelsrichtungen auch noch,O B I I I I O O O O O O O O O
1104,mach mal Fotos auch wenn du was findest dass man den Weg nachvollziehen kann,B I I I I I I I I I I I I I
1383,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,O O O O O O O O O O B I I I I I
2207,Ich orientiere mich nur an der Karte das heißt nach rechts wäre Osten du folgst einfach der langen Straße praktisch,O O O O O O O O O O O O O O B I I I I O
397,Der Trupp leuchtet den Gefahrenbereich mit dem Handscheinwerfer,O O B I I O O O
2063,Bitte mach mir mal ein Foto von deinem Standort kommen,O B I I I I I I I O
1820,Angriffstrupp und Wassertrupp rüsten sich mit Form 1 und Atemschutz aus und gehen in den Bereitstellungsraum,O O O B I I I I I I I O B O O O
1481,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,B I I I I O B I I I I I I I
2612,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,O O O B I I I I I I I O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O B I O O O O O O O O O
390,Schlauchtrupp zur Löschwasserentnahme durch Unterflurhydrant vor,O B I O O O
260,dann schick mir mal n Foto davon,O B I I I I I
2395,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,O O O O O B I I I I O B I I O
159,kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe dass man einen Orientierungspunkt hat,O O O O B I I I I I I I I O O O O O
2487,Für sie zur Information es handelt sich um folgenden stoff Schwefelsäure für sie als Auftrag mit dem D2 einen umgefallenen Kanister der sich geöffnet hat der die Flüssigkeit enthält aufnehmen und in ein Überfass befördern kommen,O O O O O O O O O O O O O O O O O O B I I I I I I I I I I I I I I I I O
400,Sie öffnen die Türen mit dem Spreizer,O B I I O O O
361,Angrifftrupp und Wassertrupp zur Brandbekämpfung jeweils mit einem C Rohr in das zweite Obergeschoss über den Treppenraum vor,O O O B I O O O O O O O O O O O O O
1731,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV zw  eins sich momentan befindet das andere Fass zu sehen war,O O O O O O B I I I I I I I I I I I I I I I I I I
2438,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,O O B I I I I I I I
1428,Das ist verstanden dann folgen Sie den UGV 2,O O O O B I I I I
2515,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,O O B I I I O O O O O B I I I O
1459,ihr nehmt aber die westliche Richtung,O B I I I I
358,Mit dem Schlauchhaspel den Verbindungsschlauch von der Pumpe zur Beregnungsmaschine verlegen,O O O B I I I I I I I
2236,Nähere dich mal UGV 2 da sind zwei Proben die er eventuell aufnehmen muss,B I I I I O O O O O O O O O
411,Der Angriffstrupp trennt die Stahlteilen mit dem Brennschneidgerät,O O B I I O O O
450,Sie bewegen sich zum Fenster auf der rechten Seite,O B I O O O O O O
413,Der Trupp transportert die Verletzten mit hilfe von Krankentrage,O O B I I O O O O
54,zu allen Roboter mal kurz Stop,O O O B I I
1755,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können,O O O O O O O O O O B I I I I I I I I I
2335,Okay konntest du denn eine Probenahme beenden,O O O O B I I
415,Sie transportieren die Person in der Krankentrage,O B I I O O O
474,bitte bringen Sie Ihre Gerätschaften in Stellung in sicherem Bereich innerhalb der großen Halle,O B I I I I I I I I I I I I
2496,Für sie Paralleleinsatz der D2 geht zur Manipulation in die Lagerhalle vor für sie Bereitstellung eines Luftbildes aus der Halle kommen,O O O O O O O O O O O O O O B I I I I I O
2680,Ja das ist verstanen auch für sie zur Information der D2 hat seinen Auftrag erledigt für sie auch bitte die Drohne in der Nähe des Gefahrenbereiches an der Grenze absetzen kommen,O O O O O O O O O O O O O O O O O O O B I I I I I I I I I I O
1821,Schlauchtrupp baut Not Dekon neben Bereitstellungsraum auf,O B I I I I I
369,Maschinist stellt die Geräte bereit,O B I I I
2180,Wenn du da nichts entdeckst weiter Richtung Osten,B I I I I I I I
1863,auf Menschen und sonstige Ereignisse scannen,B I I I I I
1042,Auftrag ist Erkundung nach weiteren Zugangsmöglichkeiten nach Verletzten,O O B I I I I I
1126,dass du dieses Bild nochmal machst aber reinzoomst,O O B I I I I I
426,D2 unterstützt Schlauchtrupp beim Menschenrettung,O B I I I
101,mach mal ein Foto zur Orientierung für mich,B I I I I I O O
425,D1 macht erkundet weiter und sendet die Fotos der Halle,O O B I O B I I I I
383,Wassertrupp erzeugt mit dem Zumischer den Löschschaum,O B I I I I I
1390,Sie suchen die nördliche Gebäudewand in westlicher Richtung ab,O B I I I I I I I
407,Trupp fällt die Bäume mit der Motorkettensäge,O B I I O O O
427,D3 fährt in die Halle rein,O B I I I I
184,UGV 1 versuch noch in hochsweite ein bisschen nähere Ergebnisse zu kriegen,O O O O B I I I I I I I
1450,fliegt ihr in westlicher Richtung über dem eigentlichen Gelände und schickt mir dann mal ein Bild,B I I I I I I I I O B I I I I I
1078,neuer Auftrag ist Akku tauschen damit die Drohne wieder fliegen kann,O O O B I O O O O O O
963,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,O O O O B I I I I I I I I
410,Sie trennen die Türpfosten am Fahrzeug mit dem Schneidgerät,O B I I I I O O O
1374,Sollten dabei Verletzte oder chemische Substanzen gesichtet werden ebenfalls bitte melden und auf der Karte markieren,B I I I I I I I I I I I I I I I
2133,Dann Foto machen,O B I
1688,schick mir mal ein Foto wo ihr steht damit ich ein bisschen zuordnen kann,B I I I I I I I O O O O O O
2043,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,O O O O O O B I I I I I I I
510,fliegen Sie mit der Drohne über den linken Hochofen oberste Höhe und dann ein Foto senden,B I I I I I I I I I I O O B I I
405,Trupp trennt die Zäunen mit dem Bolzenschneider,O B I I O O O
1862,bitte auch per Infrarot bitte,O O O O O
1596,schickst du mir dann auch von da mal ein Foto,B I I I I I I I I I
438,D drei öffnet die Tür mit dem Plasmaschneider,O O B I I O O O
982,du sollst zur Rauchentwicklung fahren,O O B I I
362,Der Trupp startet ein Innenangriff mit der Schnellangriffsleitung,O O B I I O O O
1128,das gleiche Bild was du jetzt gemacht hast da in die Mitte reinzoomen da wo die Rauchentwicklung ist,O O O O O O O O O B I I I I I I I I
412,Sie trennen die Metallteile mit dem Plasmaschneidgerät,O B I I O O O
964,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,O O O O B O B I I I
357,Wassertrupp zur Schlauchhaspel,O B I
2283,Kannst du dich in die Richtung zurückbegeben und da mal nachgucken,O O B I I I I I I I I
47,kommst du näher an das blaue Fass dass wir eine Erkennung haben,B I I I I I I I I I I I
1384,Und desweiteren erkunden Sie die südliche Gebäudewand von ihrem Standort aus in westlicher Richtung,O O B I I I I I I I I I I I
2118,Kannst du mir mal grob deine Position auf der Karte durchgeben,O O O O O B I I I I I
95,ja jetzt haben wir die Erkundung der rückwärtigen Seite in nördlicher Bereich,O O O O O B I I I I I I
416,Sie transportieren die Person in der Schleifkorbtrage,O B I I O O O
360,Wassertrupp mit dem Rollschlauch zur Brandbekämpfung vor,O B I I I I I
