id,tokens,tags
401,Trupp entfernt es mit dem Klappmesser,O B I O O O
1177,wenn du jetzt startest den Hochofen der von euch weiter weg ist   von dort aus hätte ich gerne Bilder aus der Mitte zwischen den Hochöfen,O O O O O O O O O O O O O O B I I I I I I I I I I I I
827,wenn betriebsbereit Auftrag durchführen,B I I I
2261,Und mach sozusagen mal ein Rundumfoto das heißt aus den anderen beiden Himmelsrichtungen auch noch,O B I I I I O O O O O O O O O
1104,mach mal Fotos auch wenn du was findest dass man den Weg nachvollziehen kann,B I I I I I I I I I I I I I
1383,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,O O O O O O O O O O B I I I I I
2207,Ich orientiere mich nur an der Karte das heißt nach rechts wäre Osten du folgst einfach der langen Straße praktisch,O O O O O O O O O O O O O O B I I I I O
397,Der Trupp leuchtet den Gefahrenbereich mit dem Handscheinwerfer,O O B I I O O O
2063,Bitte mach mir mal ein Foto von deinem Standort kommen,O B I I I I I I I O
1820,Angriffstrupp und Wassertrupp rüsten sich mit Form 1 und Atemschutz aus und gehen in den Bereitstellungsraum,O O O B I I I I I I I O B O O O
1481,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,B I I I I O B I I I I I I I
2612,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,O O O B I I I I I I I O
421,Angrifftrupp zur Personensuche mit Atemschutz in den Keller durch den Vordereingang vor,O B I O O O O O O O O O
390,Schlauchtrupp zur Löschwasserentnahme durch Unterflurhydrant vor,O B I O O O
260,dann schick mir mal n Foto davon,O B I I I I I
2395,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,O O O O O B I I I I O B I I O
159,kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe dass man einen Orientierungspunkt hat,O O O O B I I I I I I I I O O O O O
2487,Für sie zur Information es handelt sich um folgenden stoff Schwefelsäure für sie als Auftrag mit dem D2 einen umgefallenen Kanister der sich geöffnet hat der die Flüssigkeit enthält aufnehmen und in ein Überfass befördern kommen,O O O O O O O O O O O O O O O O O O B I I I I I I I I I I I I I I I I O
400,Sie öffnen die Türen mit dem Spreizer,O B I I O O O
361,Angrifftrupp und Wassertrupp zur Brandbekämpfung jeweils mit einem C Rohr in das zweite Obergeschoss über den Treppenraum vor,O O O B I O O O O O O O O O O O O O
1731,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV zw  eins sich momentan befindet das andere Fass zu sehen war,O O O O O O B I I I I I I I I I I I I I I I I I I
2438,Einmal bitte zum Gefahrenbereich vor den Eingang der Halle kommen,O O B I I I I I I I
1428,Das ist verstanden dann folgen Sie den UGV 2,O O O O B I I I I
2515,Der D3 fährt zum Objekt vor der D2 ist schon dort stellt das Überfass bereit kommen,O O B I I I O O O O O B I I I O
1459,ihr nehmt aber die westliche Richtung,O B I I I I
358,Mit dem Schlauchhaspel den Verbindungsschlauch von der Pumpe zur Beregnungsmaschine verlegen,O O O B I I I I I I I
2236,Nähere dich mal UGV 2 da sind zwei Proben die er eventuell aufnehmen muss,B I I I I O O O O O O O O O
