id,tokens,tags
487,da ein Foto machen,O O O O
1374,Sollten dabei Verletzte oder chemische Substanzen gesichtet werden ebenfalls bitte melden und auf der Karte markieren,O O O O O O O O O O O O O O O O
1868,ja Ihr Auftrag ist in das Objekt reinzufahren und den Schadensort zu scannen zu bebildern,O O O O O O O O O O O O O O O
334,ja schick ich jetzt den Angriff dorthin zum Lesen aber wenn du direkt vorbeikommst dann mach nur ein näheres Foto als Nachweis,O O O O O O O O O O O O O O O O O O O O O O
1179,immer noch Menschen suchen ne,O O O O O
1713,ja dann tausch das Akku nochmal aus und flieg die Strecke nochmal ab,O O O O O O O O O O O O O
2525,D3 mit Überfass ist am Standort angekommen für sie Beginn des Auftrages Bergung des Behältnisses kommen,O O O O O O O O O O O O O O O O
2442,Die Einsatzstelle wurde begangen Wir haben einen Gefahrstoffunfall in einem Lager Für sie erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,O O O O O O O O O O O O O O B I I O O O O O
62,melden wenn Einsatzbereitschaft gegeben,O O O O
1332,Für Sie konkreter Auftrag Sie begeben sich zur nördlichen Gebäudekante und bewegen sich dann westwärts,O O O O O O O B I I O O O O O
1666,ja schickst du mir nochmal ein Bild,O O O O O O O
2261,Und mach sozusagen mal ein Rundumfoto das heißt aus den anderen beiden Himmelsrichtungen auch noch,O O O O O O O O O O O O O O O
964,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,B O O O O O O O O O
905,benötige Foto,O O
314,kann man von oben vielleicht mir ein Foto schicken,O O O O O O O O O
562,versuchen Sie mit hilfe der Bodenroboter die Substanzen herauszufinden,O O O O O O O O O
510,fliegen Sie mit der Drohne über den linken Hochofen oberste Höhe und dann ein Foto senden,O O O O O O O O O O O O O O O O
2260,Kreise mal bitte jetzt dann um ASA 352 herum,O O O O O O O O O
384,Wassertrupp zum Kuppeln von Saugleitung vor,O O O O O O
880,ich möchte Infrarot Bilder haben mit dem Ziel Leckagen festzustellen beziehungsweise Wärmestrahlung,O O O O O O O O O O O O
451,Trupp zum Brandlöschen über die Wiese vor,O O O O O O O
438,D drei öffnet die Tür mit dem Plasmaschneider,O O O O O O O O
563,oder ob es möglich ist die Leckage abzudichten,O O O O O O O O
330,noch ein Bild schicken und das aber mit einem Schwarz Weiß Hintergrund,O O O O O O O O O O O O
2450,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor Für sie Auftrag Erkundung innen der Halle kommen,O O O O O O O O O O O O O O O O O O O O
2156,Einsatzauftrag bitte aufsteigen Übersichtsfoto machen wenn möglich aus allen vier Himmelsrichtungen kommen,O O O O O O O O O O O O
491,UAV bitte eine Gesamtübersicht von dem zentralen Gebäude,O O O O O O O O
443,Wassertrupp mit dem Rohr zur Unterstützung des Angrifftrupps ins Keller,O O O O O O O O B I
1078,neuer Auftrag ist Akku tauschen damit die Drohne wieder fliegen kann,O O O O O O O O O O O
2148,Unser Auftrag Gasquelle lokalisieren,O O O O
1825,Angriffstrupp zur Personenbefreiung mit dem Rettungsspreizer zum verunfalltem Auto über die Wiese vor,O O O O O O B I I O O O O
1862,bitte auch per Infrarot bitte,O O O O O
1843,wie besprochen Gebiet erkunden rund um die beiden Hochöfen vermutlich Explosion oder irgendwas mit Chemikalien,O O O O B I I I I O O O O O O
54,zu allen Roboter mal kurz Stop,O O O O O O
418,Gruppenführer Erkundung mit dem D3 im Inneren der Lagerhalle,O O O O O B I I I
1517,kannst du mir ein Bild schicken,O O O O O O
